 time            v(out)          i(Lboost)       v(anode)       
 1.15750000e-06  4.72099031e+02  1.81992923e+01  4.72906948e+02 
 1.16250000e-06  4.72292590e+02  1.81908674e+01  4.73100487e+02 
 1.16750000e-06  4.72486060e+02  1.81824370e+01  4.73293937e+02 
 1.17250000e-06  4.72679441e+02  1.81740013e+01  4.73487297e+02 
 1.17750000e-06  4.72872731e+02  1.81655603e+01  4.73680567e+02 
 1.18250000e-06  4.73065932e+02  1.81571138e+01  4.73873747e+02 
 1.18750000e-06  4.73259043e+02  1.81486620e+01  4.74066837e+02 
 1.19250000e-06  4.73452064e+02  1.81402049e+01  4.74259838e+02 
 1.19750000e-06  4.73644995e+02  1.81317424e+01  4.74452748e+02 
 1.20250000e-06  4.73837835e+02  1.81232745e+01  4.74645568e+02 
 1.20750000e-06  4.74030586e+02  1.81148013e+01  4.74838299e+02 
 1.21250000e-06  4.74223247e+02  1.81063227e+01  4.75030939e+02 
 1.21750000e-06  4.74415817e+02  1.80978388e+01  4.75223488e+02 
 1.22250000e-06  4.74608297e+02  1.80893495e+01  4.75415948e+02 
 1.22750000e-06  4.74800687e+02  1.80808548e+01  4.75608317e+02 
 1.23250000e-06  4.74992986e+02  1.80723549e+01  4.75800595e+02 
 1.23750000e-06  4.75185195e+02  1.80638496e+01  4.75992784e+02 
 1.24250000e-06  4.75377313e+02  1.80553389e+01  4.76184881e+02 
 1.24750000e-06  4.75569341e+02  1.80468230e+01  4.76376888e+02 
 1.25250000e-06  4.75761278e+02  1.80383016e+01  4.76568805e+02 
 1.25750000e-06  4.75953125e+02  1.80297750e+01  4.76760630e+02 
 1.26250000e-06  4.76144880e+02  1.80212430e+01  4.76952365e+02 
 1.26750000e-06  4.76336545e+02  1.80127057e+01  4.77144010e+02 
 1.27250000e-06  4.76528119e+02  1.80041631e+01  4.77335563e+02 
 1.27750000e-06  4.76719603e+02  1.79956152e+01  4.77527025e+02 
 1.28250000e-06  4.76910995e+02  1.79870619e+01  4.77718396e+02 
 1.28750000e-06  4.77102296e+02  1.79785034e+01  4.77909677e+02 
 1.29250000e-06  4.77293506e+02  1.79699395e+01  4.78100866e+02 
 1.29750000e-06  4.77484625e+02  1.79613703e+01  4.78291964e+02 
 1.30250000e-06  4.77675653e+02  1.79527958e+01  4.78482971e+02 
 1.30750000e-06  4.77866589e+02  1.79442160e+01  4.78673886e+02 
 1.31250000e-06  4.78057434e+02  1.79356309e+01  4.78864711e+02 
 1.31750000e-06  4.78248188e+02  1.79270405e+01  4.79055444e+02 
 1.32250000e-06  4.78438851e+02  1.79184448e+01  4.79246085e+02 
 1.32750000e-06  4.78629422e+02  1.79098438e+01  4.79436635e+02 
 1.33250000e-06  4.78819901e+02  1.79012375e+01  4.79627093e+02 
 1.33750000e-06  4.79010289e+02  1.78926260e+01  4.79817460e+02 
 1.34250000e-06  4.79200585e+02  1.78840091e+01  4.80007735e+02 
 1.34750000e-06  4.79390790e+02  1.78753870e+01  4.80197919e+02 
 1.35250000e-06  4.79580902e+02  1.78667595e+01  4.80388010e+02 
 1.35750000e-06  4.79770923e+02  1.78581268e+01  4.80578010e+02 
 1.36250000e-06  4.79960852e+02  1.78494889e+01  4.80767918e+02 
 1.36750000e-06  4.80150690e+02  1.78408456e+01  4.80957734e+02 
 1.37250000e-06  4.80340435e+02  1.78321971e+01  4.81147458e+02 
 1.37750000e-06  4.80530088e+02  1.78235433e+01  4.81337090e+02 
 1.38250000e-06  4.80719649e+02  1.78148842e+01  4.81526630e+02 
 1.38750000e-06  4.80909118e+02  1.78062199e+01  4.81716077e+02 
 1.39250000e-06  4.81098495e+02  1.77975503e+01  4.81905433e+02 
 1.39750000e-06  4.81287779e+02  1.77888755e+01  4.82094696e+02 
 1.40250000e-06  4.81476971e+02  1.77801954e+01  4.82283867e+02 
 1.40750000e-06  4.81666071e+02  1.77715100e+01  4.82472945e+02 
 1.41250000e-06  4.81855078e+02  1.77628194e+01  4.82661931e+02 
 1.41750000e-06  4.82043993e+02  1.77541235e+01  4.82850825e+02 
 1.42250000e-06  4.82232815e+02  1.77454224e+01  4.83039626e+02 
 1.42750000e-06  4.82421545e+02  1.77367161e+01  4.83228334e+02 
 1.43250000e-06  4.82610182e+02  1.77280045e+01  4.83416949e+02 
 1.43750000e-06  4.82798726e+02  1.77192877e+01  4.83605472e+02 
 1.44250000e-06  4.82987178e+02  1.77105656e+01  4.83793903e+02 
 1.44750000e-06  4.83175537e+02  1.77018384e+01  4.83982240e+02 
 1.45250000e-06  4.83363803e+02  1.76931058e+01  4.84170484e+02 
 1.45750000e-06  4.83551976e+02  1.76843681e+01  4.84358636e+02 
 1.46250000e-06  4.83740056e+02  1.76756251e+01  4.84546694e+02 
 1.46750000e-06  4.83928042e+02  1.76668769e+01  4.84734659e+02 
 1.47250000e-06  4.84115936e+02  1.76581235e+01  4.84922532e+02 
 1.47750000e-06  4.84303737e+02  1.76493649e+01  4.85110311e+02 
 1.48250000e-06  4.84491444e+02  1.76406010e+01  4.85297997e+02 
