role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	22	26475111	5.76585694349402988e-1	-9.55136066597612512e1	3.80537128320792135e2	3.80467688210205495e2	3.81773401207911775e2	-5.59210339395409211e-6	4.20565413690716472e0	3.81773401207911390e-10	1.31952981794227668e-9	4.20566578937269764e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	22	26475112	5.76585694349402988e-1	-9.55136066597612654e1	3.80537128320791226e2	3.80467688210205552e2	3.81773401207909330e2	-5.59210341364178648e-6	4.20565413683027600e0	3.81773401207908909e-10	1.33051196727770753e-9	4.20566578922957746e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	22	26475113	5.76585694349403100e-1	-9.55136066597692235e1	3.80537128320789975e2	3.80467688210205495e2	3.81773401207906204e2	-5.59210344002170351e-6	4.20565413673128941e0	3.81773401207905859e-10	1.33455102981060764e-9	4.20566578909390909e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	23	26475511	5.76593442769342990e-1	-9.59229546335299830e1	3.80535263865402783e2	3.80465069789342806e2	3.81772487933939317e2	-6.53039481650811984e-6	4.25690890749749773e0	3.81772487933938983e-10	1.23225194429427829e-9	4.25692051566482377e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	26475512	5.76593442769343101e-1	-9.59229546335379837e1	3.80535263865401248e2	3.80465069789342976e2	3.81772487933935565e2	-6.53039484688461699e-6	4.25690890738295202e0	3.81772487933935158e-10	1.27350905901353008e-9	4.25692051550233685e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	26475513	5.76593442769343101e-1	-9.59229546335379553e1	3.80535263865400395e2	3.80465069789343033e2	3.81772487933933689e2	-6.53039486216494058e-6	4.25690890732154337e0	3.81772487933933348e-10	1.30652333335240906e-9	4.25692051535261573e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	26475514	5.76593442769343101e-1	-9.59229546335379695e1	3.80535263865399372e2	3.80465069789343204e2	3.81772487933931188e2	-6.53039488269975429e-6	4.25690890724439619e0	3.81772487933930763e-10	1.31235351435155840e-9	4.25692051539777605e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	23	26475515	5.76593442769343212e-1	-9.59229546335419201e1	3.80535263865397440e2	3.80465069789343488e2	3.81772487933926129e2	-6.53039492739405677e-6	4.25690890709010450e0	3.81772487933925800e-10	1.28060214457922464e-9	4.25692051526575010e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	24	26475920	5.76601201313038603e-1	-9.63320173525250709e1	3.80533378248851193e2	3.80462517548154153e2	3.81771424867641201e2	-1.14601784386052820e-5	4.30146238233071188e0	3.81771424867640819e-10	1.25673762875919655e-9	4.30147394676982753e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26475921	5.76601201313038714e-1	-9.63320173525290500e1	3.80533378248849544e2	3.80462517548154210e2	3.81771424867637279e2	-1.14601784683864217e-5	4.30146238220692823e0	3.81771424867636942e-10	1.29684505159920730e-9	4.30147394666451266e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26475922	5.76601201313038714e-1	-9.63320173525290357e1	3.80533378248848692e2	3.80462517548154267e2	3.81771424867635176e2	-1.14601784836671468e-5	4.30146238214077581e0	3.81771424867634822e-10	1.31697231969447903e-9	4.30147394647988435e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26475923	5.76601201313038714e-1	-9.63320173525290500e1	3.80533378248847555e2	3.80462517548154267e2	3.81771424867632447e2	-1.14601785042392308e-5	4.30146238205696907e0	3.81771424867632031e-10	1.28063172793063462e-9	4.30147394649173354e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	24	26475924	5.76601201313038825e-1	-9.63320173525369654e1	3.80533378248845111e2	3.80462517548154381e2	3.81771424867626934e2	-1.14601785465621706e-5	4.30146238188935204e0	3.81771424867626602e-10	1.29031262740861767e-9	4.30147394635870217e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
