role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	13	25090610	5.48446235944614502e-1	-2.09340089121632955e0	9.17247719322045043e1	3.86833987667295087e0	3.81701115063387363e2	3.81731249361944947e2	3.86833019917709864e0	3.81795746908978799e2	3.83025619113292635e2	-3.98241089668077299e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88111806231208378e0	2.57380530318203471e0
RIGHT	13	25090611	5.48446235944614613e-1	-2.09340089038724786e0	9.17247719330255649e1	3.86833987650655509e0	3.81701115063387419e2	3.81731249361945004e2	3.86833019900154929e0	3.81795746908976355e2	3.83025619113286666e2	-3.98241094835057051e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88111806231208201e0	2.57380530318100931e0
LEFT	14	25091017	5.48453982639152682e-1	-2.08699272731498420e0	9.13177878123522788e1	3.84890978073453205e0	3.81698147674298013e2	3.81728281738588066e2	3.84890006744156565e0	3.81792502292051267e2	3.83021997856846042e2	-4.70875399822755616e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88109088545798642e0	2.56658192063511281e0
GROUP	14	25091018	5.48453982639152793e-1	-2.08699272856557405e0	9.13177878110976593e1	3.84890978058208955e0	3.81698147674298127e2	3.81728281738588180e2	3.84890006732665269e0	3.81792502292049903e2	3.83021997856842120e2	-4.70875403114862837e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88109088545798686e0	2.56658192063444357e0
GROUP	14	25091019	5.48453982639152793e-1	-2.08699272666032432e0	9.13177878130028944e1	3.84890978052429844e0	3.81698147674298184e2	3.81728281738588237e2	3.84890006726455480e0	3.81792502292049051e2	3.83021997856840130e2	-4.70875404877165706e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88109088545798597e0	2.56658192063408253e0
GROUP	14	25091020	5.48453982639152793e-1	-2.08699272915817557e0	9.13177878105050524e1	3.84890978042094556e0	3.81698147674298184e2	3.81728281738588237e2	3.84890006718680411e0	3.81792502292048084e2	3.83021997856837572e2	-4.70875407041502175e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88109088545798553e0	2.56658192063363000e0
RIGHT	14	25091021	5.48453982639152904e-1	-2.08699272905188993e0	9.13177878106032779e1	3.84890978032221565e0	3.81698147674298355e2	3.81728281738588407e2	3.84890006703130316e0	3.81792502292046265e2	3.83021997856832513e2	-4.70875411399370391e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88109088545798508e0	2.56658192063272406e0
LEFT	15	25235462	5.51583188231134391e-1	9.44359587473780948e1	-9.45075428153564046e-1	-4.24761366123016160e0	3.79399843999470022e2	3.79429796618733121e2	4.24760203461374619e0	3.79499850429469404e2	3.80736902175133196e2	-9.88698808137623999e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88314273676369170e0	2.59661931032325022e0
GROUP	15	25235463	5.51583188231134502e-1	9.44359587481205409e1	-9.45075427419066583e-1	-4.24761366110891458e0	3.79399843999470193e2	3.79429796618733292e2	4.24760203449231089e0	3.79499850429467642e2	3.80736902175129387e2	-9.88698811176013681e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88314273676369170e0	2.59661931032273241e0
GROUP	15	25235464	5.51583188231134502e-1	9.44359587466638288e1	-9.45075428875773227e-1	-4.24761366086266889e0	3.79399843999470249e2	3.79429796618733349e2	4.24760203442735929e0	3.79499850429466790e2	3.80736902175127227e2	-9.88698812873459915e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88314273676369170e0	2.59661931032245619e0
GROUP	15	25235465	5.51583188231134502e-1	9.44359587471905968e1	-9.45075428349024471e-1	-4.24761366081600045e0	3.79399843999470306e2	3.79429796618733405e2	4.24760203434523653e0	3.79499850429465766e2	3.80736902175124499e2	-9.88698815158242521e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88314273676369170e0	2.59661931032210669e0
RIGHT	15	25235466	5.51583188231134613e-1	9.44359587480189759e1	-9.45075427528621503e-1	-4.24761366077194680e0	3.79399843999470420e2	3.79429796618733519e2	4.24760203418099103e0	3.79499850429463550e2	3.80736902175119212e2	-9.88698819284696847e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88314273676369170e0	2.59661931032140769e0
LEFT	16	25235865	5.51590937525125335e-1	9.48447473910873242e1	-9.45944898314592719e-1	-4.27749036629978718e0	3.79397298152664973e2	3.79427250570940146e2	4.27747878312597862e0	3.79497742156796619e2	3.80735346475259007e2	-1.11385068041130305e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88317573263735705e0	2.61008611212478270e0
GROUP	16	25235866	5.51590937525125447e-1	9.48447473912065533e1	-9.45944898199338247e-1	-4.27749036616074818e0	3.79397298152665201e2	3.79427250570940373e2	4.27747878298578499e0	3.79497742156794686e2	3.80735346475254573e2	-1.11385068371382708e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88317573263735749e0	2.61008611212417785e0
GROUP	16	25235867	5.51590937525125447e-1	9.48447473927149787e1	-9.45944896690911641e-1	-4.27749036601721855e0	3.79397298152665257e2	3.79427250570940430e2	4.27747878291336914e0	3.79497742156793890e2	3.80735346475252243e2	-1.11385068548825709e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88317573263735749e0	2.61008611212386521e0
RIGHT	16	25235868	5.51590937525125558e-1	9.48447473902276101e1	-9.45944899186249244e-1	-4.27749036592553011e0	3.79397298152665314e2	3.79427250570940487e2	4.27747878282156968e0	3.79497742156793038e2	3.80735346475249344e2	-1.11385068765354537e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88317573263735705e0	2.61008611212346864e0
LEFT	17	25503082	5.56772681278832726e-1	9.32511634745833078e1	-9.33906536076221427e-1	-3.86984966085964288e0	3.82069659421991787e2	3.82099822816156632e2	3.86984000055405319e0	3.82164364446485195e2	3.83394265879705983e2	-1.18006511784881003e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88185844080016418e0	2.59543777362805805e0
GROUP	17	25503083	5.56772681278832837e-1	9.32511634745554687e1	-9.33906536096041906e-1	-3.86984966061299929e0	3.82069659421992014e2	3.82099822816156859e2	3.86984000042508969e0	3.82164364446483376e2	3.83394265879701834e2	-1.18006512099929910e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88185844080016418e0	2.59543777362726091e0
GROUP	17	25503084	5.56772681278832837e-1	9.32511634753962966e1	-9.33906535255229042e-1	-3.86984966043706891e0	3.82069659421992071e2	3.82099822816156916e2	3.86984000035626208e0	3.82164364446482523e2	3.83394265879699731e2	-1.18006512260576756e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88185844080016373e0	2.59543777362683548e0
