role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	27	26741180	5.81751966344951965e-1	-9.52846378612777869e1	3.83166298858157688e2	3.83100745893947192e2	3.84397510663592072e2	-1.30630698869239373e-5	3.93781994401491664e0	3.84397510663591697e-10	1.34535015768806410e-9	3.93782954624680404e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	27	26741181	5.81751966344952076e-1	-9.52846378612698430e1	3.83166298858155756e2	3.83100745893947362e2	3.84397510663587354e2	-1.30630699222210081e-5	3.93781994386818113e0	3.84397510663586992e-10	1.34716730741346643e-9	3.93782954609990110e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	27	26741182	5.81751966344952076e-1	-9.52846378612698288e1	3.83166298858154732e2	3.83100745893947419e2	3.84397510663584910e2	-1.30630699404516034e-5	3.93781994379135103e0	3.84397510663584510e-10	1.32583944248909589e-9	3.93782954603961954e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	27	26741183	5.81751966344952187e-1	-9.52846378612698146e1	3.83166298858153425e2	3.83100745893947590e2	3.84397510663581897e2	-1.30630699629060555e-5	3.93781994369405508e0	3.84397510663581512e-10	1.29229120491534880e-9	3.93782954599309942e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	28	26887616	5.84919866434989721e-1	9.55579572256067564e1	3.80845487252921714e2	3.80775963600732950e2	3.82081857438072689e2	-5.45864248664521622e-6	4.21088389468102520e0	3.82081857438072338e-10	1.25840580676287866e-9	-4.21089555349385591e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	28	26887617	5.84919866434989832e-1	9.55579572256107497e1	3.80845487252919554e2	3.80775963600733064e2	3.82081857438067857e2	-5.45864252751168279e-6	4.21088389452569878e0	3.82081857438067479e-10	1.28282137748920726e-9	-4.21089555336175181e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	28	26887618	5.84919866434989832e-1	9.55579572256107497e1	3.80845487252918474e2	3.80775963600733178e2	3.82081857438065185e2	-5.45864255034761058e-6	4.21088389444374300e0	3.82081857438064790e-10	1.27833884537192923e-9	-4.21089555326096843e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	28	26887619	5.84919866434989943e-1	9.55579572256187362e1	3.80845487252917110e2	3.80775963600733348e2	3.82081857438061547e2	-5.45864258151028474e-6	4.21088389433753285e0	3.82081857438061171e-10	1.28603367648353073e-9	-4.21089555305195518e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	29	27154090	5.90093873191478435e-1	9.48302488505494523e1	3.83478918012701968e2	3.83414331597430191e2	3.84708866568421683e2	-9.04400471428547561e-6	3.87227470296960385e0	3.84708866568421314e-10	1.38350982254777123e-9	-3.87228435763393009e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	29	27154091	5.90093873191478546e-1	9.48302488505414232e1	3.83478918012700206e2	3.83414331597430419e2	3.84708866568417363e2	-9.04400474880606112e-6	3.87227470283923703e0	3.84708866568417023e-10	1.36168206033456154e-9	-3.87228435754201428e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
