runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.008	LL05	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1542.300	LL05	1537.991558	5.27890959674582216e-1	81.213994	3.134004787875e-4	24058851	true	12	0
1552.315	LL05	1548.016346	5.30902456955717472e-1	81.677301	3.004050777284e-4	24214235	true	12	0
1562.330	LL05	1558.074897	5.34115116420230573e-1	82.171556	3.193958782820e-4	24365876	true	12	0
1572.343	LL05	1568.093780	5.37135865751748542e-1	82.636287	3.015055988631e-4	24518033	true	14	0
1582.353	LL05	1578.196917	5.40102649563498072e-1	83.092715	2.936497498343e-4	24671043	true	15	0
1592.368	LL05	1588.218368	5.43287927789192437e-1	83.582758	3.178460071265e-4	24818640	true	19	0
1602.383	LL05	1598.309246	5.46329814510028489e-1	84.050741	3.014491847907e-4	24975429	true	19	0
1612.400	LL05	1608.373110	5.49327792257029768e-1	84.511968	2.978952764667e-4	25126290	true	21	0
1622.417	LL05	1618.444101	5.52405030565342514e-1	84.985389	3.055546878964e-4	25271605	true	23	0
1632.431	LL05	1628.525839	5.55376550663310820e-1	85.442546	2.947428298017e-4	25424904	true	23	0
1642.447	LL05	1638.612407	5.58482519429455038e-1	85.920388	3.079311665445e-4	25575517	true	25	0
1652.463	LL05	1648.620394	5.61464543248703429e-1	86.379160	2.979644176187e-4	25721186	true	27	0
1662.478	LL05	1658.653729	5.64402673958824819e-1	86.831181	2.928368992086e-4	25873455	true	27	0
1672.494	LL05	1668.741063	5.67552665214430152e-1	87.315795	3.122719247183e-4	26021171	true	30	0
1682.509	LL05	1678.785064	5.70599788147385323e-1	87.784583	3.033773923291e-4	26175382	true	33	0
1692.523	LL05	1688.866900	5.73650008051708182e-1	88.253847	3.025460781291e-4	26332174	true	35	0
1702.538	LL05	1698.921397	5.76924566444886766e-1	88.757626	3.256809702952e-4	26483920	true	35	0
1712.553	LL05	1708.975126	5.79940896829251651e-1	89.221676	3.000210590386e-4	26639962	true	35	0
1722.567	LL05	1719.029012	5.83059701442419920e-1	89.701493	3.102088826674e-4	26794211	true	36	0
1732.582	LL05	1729.113515	5.86266721473007735e-1	90.194880	3.180146756944e-4	26948407	true	36	0
1742.594	LL05	1739.115152	5.89278808507831542e-1	90.658278	3.011593986595e-4	27103996	true	36	0
1752.610	LL05	1749.214219	5.92525264517944739e-1	91.157733	3.214609821812e-4	27256829	true	38	0
1762.628	LL05	1759.250097	5.95540439583054915e-1	91.621606	3.004395781261e-4	27409478	true	38	0
1772.644	LL05	1769.351800	5.98511314529776017e-1	92.078664	2.940964625647e-4	27562484	true	39	0
1782.659	LL05	1779.433452	6.01710549283034246e-1	92.570854	3.173323745209e-4	27710616	true	41	0
1792.671	LL05	1789.466789	6.04677811433927181e-1	93.027356	2.957403093169e-4	27863375	true	41	0
1802.687	LL05	1799.498223	6.07720748768440067e-1	93.495500	3.033402339623e-4	28015511	true	42	0
1812.703	LL05	1809.566823	6.10868277984779384e-1	93.979735	3.126084226651e-4	28165029	true	42	0
1822.718	LL05	1819.648418	6.13811762062668631e-1	94.432579	2.919661175519e-4	28316774	true	42	0
1832.732	LL05	1829.738533	6.16946419958820047e-1	94.914834	3.106662017217e-4	28467688	true	44	0
1842.749	LL05	1839.763539	6.19985232771460781e-1	95.382344	3.031232987214e-4	28616960	true	45	0
1852.765	LL05	1849.788560	6.22958520679291916e-1	95.839772	2.965867098072e-4	28770401	true	45	0
1862.779	LL05	1859.885482	6.26217285019156855e-1	96.341121	3.227482783413e-4	28922085	true	49	0
1872.793	LL05	1869.930854	6.29247484347006392e-1	96.807305	3.016512781022e-4	29077252	true	50	0
1882.808	LL05	1880.007598	6.32250770893864944e-1	97.269349	2.980413721785e-4	29230517	true	51	0
1892.825	LL05	1890.098905	6.35457413429152407e-1	97.762679	3.177628654122e-4	29379789	true	52	0
1902.841	LL05	1900.105992	6.38416220657068934e-1	98.217880	2.956711769327e-4	29532371	true	52	0
1912.851	LL05	1910.108947	6.41498913960016126e-1	98.692141	3.081782494766e-4	29684487	true	54	0
1922.866	LL05	1920.204064	6.44666828942039527e-1	99.179512	3.138066594768e-4	29836882	true	56	0
1932.882	LL05	1930.296159	6.47651602182216513e-1	99.638708	2.957535899669e-4	29991339	true	56	0
1937.893	LL05	1937.836258	6.50000000000000022e-1	100.000000	3.114545071336e-4	30103973	true	58	0
