time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
1.55113268227129435e-5 9.92370478084045993e-1 4.04381136469567082e-5 1.23430989704031402e-18 6.49636787915954760e-21 6.49636788039385796e-9 3.08959491426888977e-5 7.94698241376482072e-8 1.79158635834087171e-1 7.46311322375225111e-5 0.00000000000000000e0 0.00000000000000000e0
1.55117268227129444e-5 9.92396068652220076e-1 4.04394289019727182e-5 1.23447496623974069e-18 6.49723666441968807e-21 6.49723666565416351e-9 3.08971665597936190e-5 7.94742531624786197e-8 1.79181232505356058e-1 7.46344060317130300e-5 0.00000000000000000e0 0.00000000000000000e0
1.55120268227129417e-5 9.92415261578335595e-1 4.04404151970183534e-5 1.23459877342374951e-18 6.49788828117762924e-21 6.49788828241222821e-9 3.08980794509226286e-5 7.94775744410849116e-8 1.79198180593209605e-1 7.46368608676848446e-5 0.00000000000000000e0 0.00000000000000000e0
1.55121068227129405e-5 9.92420379691964172e-1 4.04406785230460031e-5 1.23463178959870996e-18 6.49806205051952577e-21 6.49806205175415853e-9 3.08983228584607656e-5 7.94784600294474509e-8 1.79202700185680325e-1 7.46375154011629346e-5 0.00000000000000000e0 0.00000000000000000e0
1.55122668227129415e-5 9.92430615919218884e-1 4.04412044319180097e-5 1.23469782259264720e-18 6.49840959259288032e-21 6.49840959382757783e-9 3.08988096525980531e-5 7.94802311465591977e-8 1.79211739441866941e-1 7.46388244062399695e-5 0.00000000000000000e0 0.00000000000000000e0
1.55125868227129402e-5 9.92451088373717538e-1 4.04422561330886055e-5 1.23482989244427843e-18 6.49910469707514967e-21 6.49910469830997930e-9 3.08997831152234490e-5 7.94837730225567746e-8 1.79229818381540840e-1 7.46414420439586398e-5 0.00000000000000000e0 0.00000000000000000e0
1.55132268227129409e-5 9.92492033282671438e-1 4.04443590704683942e-5 1.23509404759913798e-18 6.50049498736388433e-21 6.50049498859897882e-9 3.09017295377255599e-5 7.94908553418721825e-8 1.79265977969693735e-1 7.46466758300716644e-5 0.00000000000000000e0 0.00000000000000000e0
1.55145068227129390e-5 9.92573923100405708e-1 4.04485628373585371e-5 1.23562241968785965e-18 6.50327589309399816e-21 6.50327589432962049e-9 3.09056203705168080e-5 7.95050142526318720e-8 1.79338303978257479e-1 7.46571374503516650e-5 0.00000000000000000e0 0.00000000000000000e0
1.55170668227129351e-5 9.92737702735180916e-1 4.04569609842031497e-5 1.23667941076242519e-18 6.50883900401276378e-21 6.50883900524944339e-9 3.09133939774603023e-5 7.95333091851757993e-8 1.79482983300698257e-1 7.46780369253668497e-5 0.00000000000000000e0 0.00000000000000000e0
1.55221868227129274e-5 9.93065262001957105e-1 4.04737187729153902e-5 1.23879437875205469e-18 6.51997041448449837e-21 6.51997041572329258e-9 3.09289088776326391e-5 7.95898076779783940e-8 1.79772450978242820e-1 7.47197411550760466e-5 0.00000000000000000e0 0.00000000000000000e0
1.55324268227129153e-5 9.93720380524409252e-1 4.05070798514817199e-5 1.24302824415753583e-18 6.54225391661860993e-21 6.54225391786163835e-9 3.09598087771785973e-5 7.97024405711487470e-8 1.80351820945715918e-1 7.48027732784894652e-5 0.00000000000000000e0 0.00000000000000000e0
1.55529068227128911e-5 9.95030617524876648e-1 4.05731861026215057e-5 1.25151158190092490e-18 6.58690306263644653e-21 6.58690306388795904e-9 3.10210836700267718e-5 7.99262602611444537e-8 1.81512287079458601e-1 7.49673501446795968e-5 0.00000000000000000e0 0.00000000000000000e0
1.55938668227128426e-5 9.97651091347790842e-1 4.07029443996176354e-5 1.26853980861703225e-18 6.67652530851069632e-21 6.67652530977923614e-9 3.11414912858557933e-5 8.03681833655576726e-8 1.83840024307005190e-1 7.52906635280941287e-5 0.00000000000000000e0 0.00000000000000000e0
1.56757868227127458e-5 1.00289203827934936e0 4.09526711973029478e-5 1.30283556494118841e-18 6.85702928916414890e-21 6.85702929046698501e-9 3.13734478607492385e-5 8.12295302440529255e-8 1.88521894922548450e-1 7.59144092905468672e-5 0.00000000000000000e0 0.00000000000000000e0
1.58396268227125487e-5 1.01337392926789294e0 4.14131641279791296e-5 1.37233012529153624e-18 7.22279013311334853e-21 7.22279013448567886e-9 3.18011690214563389e-5 8.28638112088234225e-8 1.97984474014516437e-1 7.70717520484255359e-5 0.00000000000000000e0 0.00000000000000000e0
1.61673068227121579e-5 1.03433769960672439e0 4.21872095086595067e-5 1.51451747721674260e-18 7.97114461693022352e-21 7.97114461844474178e-9 3.25241165805187192e-5 8.57955606857246163e-8 2.17254459430208102e-1 7.90452521989824141e-5 0.00000000000000000e0 0.00000000000000000e0
1.66673068227121565e-5 1.06632584403643804e0 4.30515546487875156e-5 1.73816461975323360e-18 9.14823484080649329e-21 9.14823484254465738e-9 3.33553044610472159e-5 8.95188400961814624e-8 2.47368885550485751e-1 8.13203712784022289e-5 0.00000000000000000e0 0.00000000000000000e0
1.71673068227121551e-5 1.09831395057898051e0 4.36219692248052127e-5 1.96794420253784401e-18 1.03576010659886519e-20 1.03576010679565974e-8 3.39324320513872881e-5 9.25196607467819208e-8 2.78127538735568725e-1 8.29080107246974021e-5 0.00000000000000000e0 0.00000000000000000e0
1.76673068227121537e-5 1.13030201809779585e0 4.39790878219437076e-5 2.20199780798289803e-18 1.15894621472784112e-20 1.15894621494804095e-8 3.43198084218845984e-5 9.49831249919623863e-8 3.09327564460634363e-1 8.39882062511821586e-5 0.00000000000000000e0 0.00000000000000000e0
1.81673068227121523e-5 1.16229004545633030e0 4.41876238093108498e-5 2.43896454020846479e-18 1.28366554747813940e-20 1.28366554772203579e-8 3.45784406416571548e-5 9.70591180523375970e-8 3.40823342260124840e-1 8.47077658114856374e-5 0.00000000000000000e0 0.00000000000000000e0
1.86673068227121509e-5 1.19427803151802969e0 4.42985575923593444e-5 2.67788941834221505e-18 1.40941548333800795e-20 1.40941548360579693e-8 3.47508774658151611e-5 9.88726975137818374e-8 3.72516501293820024e-1 8.51883413553816357e-5 0.00000000000000000e0 0.00000000000000000e0
1.91673068227121495e-5 1.22626597514634339e0 4.43428295324732602e-5 2.91812723047088748e-18 1.53585643708994069e-20 1.53585643738175355e-8 3.48623606856315890e-5 1.00509504664891554e-7 4.04339462028987351e-1 8.55024548366341449e-5 0.00000000000000000e0 0.00000000000000000e0
