role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	9	23666991	5.23412763425898486e-1	9.45456925221618008e1	-1.04945473411368084e0	-8.19237956618550989e0	3.76135685895225606e2	3.76189876248817882e2	8.19237024653444834e0	3.76318594905421151e2	3.77618879245442884e2	-4.38968610564108491e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32672608794305269e0	3.37185036386751147e0
RIGHT	9	23666992	5.23412763425898597e-1	9.45456925207616052e1	-1.04945473550590407e0	-8.19237950412906102e0	3.76135685895225834e2	3.76189876248818109e2	8.19237024635964062e0	3.76318594905418706e2	3.77618879245438279e2	-4.38968614585634492e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32672608794305225e0	3.37185036386639281e0
LEFT	10	23667773	5.23428247286363946e-1	9.37284533203695105e1	-1.04656851684596575e0	-8.07585792957349291e0	3.76125633036857437e2	3.76179821942121464e2	8.07584859120094301e0	3.76306818708847061e2	3.77605419103004635e2	-2.10655652808065505e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32663046260308848e0	3.34654501809954885e0
GROUP	10	23667774	5.23428247286364057e-1	9.37284533202308978e1	-1.04656851697656350e0	-8.07585796251857246e0	3.76125633036857664e2	3.76179821942121691e2	8.07584859104176545e0	3.76306818708845299e2	3.77605419103000258e2	-2.10655656673123642e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32663046260308803e0	3.34654501809851279e0
GROUP	10	23667775	5.23428247286364057e-1	9.37284533188917095e1	-1.04656851831575182e0	-8.07585798240038777e0	3.76125633036857721e2	3.76179821942121748e2	8.07584859097042340e0	3.76306818708844446e2	3.77605419102998383e2	-2.10655658368531702e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32663046260308759e0	3.34654501809804739e0
RIGHT	10	23667776	5.23428247286364168e-1	9.37284533224749339e1	-1.04656851472853418e0	-8.07585792070521968e0	3.76125633036857664e2	3.76179821942121691e2	8.07584859088047047e0	3.76306818708843309e2	3.77605419102995995e2	-2.10655660498149646e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32663046260308670e0	3.34654501809746030e0
LEFT	11	24221815	5.34984585480761998e-1	9.78859425439067650e1	-1.06500426227694334e0	-8.82546077849161392e0	3.72514664675897734e2	3.72568333344290750e2	8.82544978388272305e0	3.72706319329643975e2	3.74015629851388155e2	-1.04899099499094175e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33378489838490655e0	3.42171274202130737e0
GROUP	11	24221816	5.34984585480762109e-1	9.78859425425957141e1	-1.06500426359582434e0	-8.82546081029272678e0	3.72514664675898075e2	3.72568333344291091e2	8.82544978373326394e0	3.72706319329642099e2	3.74015629851384347e2	-1.04899099773874560e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33378489838490788e0	3.42171274202067321e0
GROUP	11	24221817	5.34984585480762109e-1	9.78859425446784144e1	-1.06500426151312411e0	-8.82546078829539127e0	3.72514664675898302e2	3.72568333344291318e2	8.82544978365438482e0	3.72706319329641019e2	3.74015629851382243e2	-1.04899099934112966e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33378489838490788e0	3.42171274202033970e0
RIGHT	11	24221818	5.34984585480762220e-1	9.78859425439057702e1	-1.06500426228969047e0	-8.82546075748496506e0	3.72514664675898530e2	3.72568333344291545e2	8.82544978355219989e0	3.72706319329639655e2	3.74015629851379401e2	-1.04899100149478462e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33378489838490744e0	3.42171274201990760e0
LEFT	12	24480370	5.40050138157023518e-1	9.60847550382544853e1	-1.05295038654631412e0	-8.33393059936279457e0	3.77314239849174783e2	3.77368599998555908e2	8.33392138369177715e0	3.77499431456747743e2	3.78801751628117188e2	-8.13957818858729880e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33208705712317910e0	3.41423939182738945e0
GROUP	12	24480371	5.40050138157023629e-1	9.60847550393370113e1	-1.05295038545587261e0	-8.33393059440915351e0	3.77314239849175067e2	3.77368599998556192e2	8.33392138353713818e0	3.77499431456745924e2	3.78801751628112925e2	-8.13957822234784335e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33208705712317865e0	3.41423939182636493e0
GROUP	12	24480372	5.40050138157023629e-1	9.60847550356173485e1	-1.05295038917553541e0	-8.33393053884051582e0	3.77314239849175124e2	3.77368599998556249e2	8.33392138345558564e0	3.77499431456745072e2	3.78801751628110537e2	-8.13957824069164625e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33208705712317776e0	3.41423939182582359e0
RIGHT	12	24480373	5.40050138157023740e-1	9.60847550351588922e1	-1.05295038962610477e0	-8.33393064267242423e0	3.77314239849175124e2	3.77368599998556249e2	8.33392138334982313e0	3.77499431456744048e2	3.78801751628107695e2	-8.13957826365788074e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33208705712317643e0	3.41423939182512148e0
LEFT	13	24481151	5.40065628339567727e-1	9.52731176078836910e1	-1.05031490969942354e0	-8.22716820594912157e0	3.77304545700503297e2	3.77358904453235880e2	8.22715895465763580e0	3.77488169518970039e2	3.78788955189391856e2	-8.19170610276889603e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33198887771197327e0	3.38692281369509418e0
GROUP	13	24481152	5.40065628339567838e-1	9.52731176073850605e1	-1.05031491019012435e0	-8.22716823112581253e0	3.77304545700503525e2	3.77358904453236107e2	8.22715895453329615e0	3.77488169518968448e2	3.78788955189388332e2	-8.19170613037662035e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33198887771197239e0	3.38692281369426951e0
GROUP	13	24481153	5.40065628339567838e-1	9.52731176054974895e1	-1.05031491207769534e0	-8.22716820178709440e0	3.77304545700503638e2	3.77358904453236221e2	8.22715895446687639e0	3.77488169518967652e2	3.78788955189386684e2	-8.19170614290441890e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.33198887771197194e0	3.38692281369382941e0
