 time                     v(out)                  
 1.71349999999995551e-03  8.19766154143755532e-01 
 1.71449999999995543e-03  8.19946297917724554e-01 
 1.71549999999995534e-03  8.20126261637946663e-01 
 1.71649999999995526e-03  8.20306045484385460e-01 
 1.71749999999995517e-03  8.20485649636824799e-01 
 1.71849999999995509e-03  8.20665074274868789e-01 
 1.71949999999995501e-03  8.20844319577942239e-01 
 1.72049999999995492e-03  8.21023385725290544e-01 
 1.72149999999995484e-03  8.21202272895979690e-01 
 1.72249999999995475e-03  8.21380981268897026e-01 
 1.72349999999995467e-03  8.21559511022750932e-01 
 1.72449999999995458e-03  8.21737862336071267e-01 
 1.72549999999995450e-03  8.21916035387209476e-01 
 1.72649999999995442e-03  8.22094030354338479e-01 
 1.72749999999995433e-03  8.22271847415453450e-01 
 1.72849999999995425e-03  8.22449486748371483e-01 
 1.72949999999995416e-03  8.22626948530731594e-01 
 1.73049999999995408e-03  8.22804232939996050e-01 
 1.73149999999995400e-03  8.22981340153449037e-01 
 1.73249999999995391e-03  8.23158270348197996e-01 
 1.73349999999995383e-03  8.23335023701173063e-01 
 1.73449999999995374e-03  8.23511600389127740e-01 
 1.73549999999995366e-03  8.23688000588638558e-01 
 1.73649999999995358e-03  8.23864224476105966e-01 
 1.73749999999995349e-03  8.24040272227753778e-01 
 1.73849999999995341e-03  8.24216144019629837e-01 
 1.73949999999995332e-03  8.24391840027605904e-01 
 1.74049999999995324e-03  8.24567360427378215e-01 
 1.74149999999995315e-03  8.24742705394467035e-01 
 1.74249999999995307e-03  8.24917875104217435e-01 
 1.74349999999995299e-03  8.25092869731799294e-01 
 1.74449999999995290e-03  8.25267689452207076e-01 
 1.74549999999995282e-03  8.25442334440260606e-01 
 1.74649999999995273e-03  8.25616804870604848e-01 
 1.74749999999995265e-03  8.25791100917710352e-01 
 1.74849999999995257e-03  8.25965222755873363e-01 
 1.74949999999995248e-03  8.26139170559215597e-01 
 1.75049999999995240e-03  8.26312944501684910e-01 
 1.75149999999995231e-03  8.26486544757055408e-01 
 1.75249999999995223e-03  8.26659971498927115e-01 
 1.75349999999995215e-03  8.26833224900727193e-01 
 1.75449999999995206e-03  8.27006305135708941e-01 
 1.75549999999995198e-03  8.27179212376952577e-01 
 1.75649999999995189e-03  8.27351946797365234e-01 
 1.75749999999995181e-03  8.27524508569681627e-01 
 1.75849999999995172e-03  8.27696897866463499e-01 
 1.75949999999995164e-03  8.27869114860100175e-01 
 1.76049999999995156e-03  8.28041159722808673e-01 
 1.76149999999995147e-03  8.28213032626633816e-01 
 1.76249999999995139e-03  8.28384733743448787e-01 
 1.76349999999995130e-03  8.28556263244954461e-01 
 1.76449999999995122e-03  8.28727621302680628e-01 
 1.76549999999995114e-03  8.28898808087985217e-01 
 1.76649999999995105e-03  8.29069823772054959e-01 
 1.76749999999995097e-03  8.29240668525905722e-01 
 1.76849999999995088e-03  8.29411342520382289e-01 
 1.76949999999995080e-03  8.29581845926158690e-01 
 1.77049999999995072e-03  8.29752178913738425e-01 
 1.77149999999995063e-03  8.29922341653454687e-01 
 1.77249999999995055e-03  8.30092334315470026e-01 
 1.77349999999995046e-03  8.30262157069777240e-01 
 1.77449999999995038e-03  8.30431810086199040e-01 
 1.77549999999995030e-03  8.30601293534388607e-01 
 1.77649999999995021e-03  8.30770607583829257e-01 
 1.77749999999995013e-03  8.30939752403835330e-01 
 1.77849999999995004e-03  8.31108728163551524e-01 
 1.77949999999994996e-03  8.31277535031953563e-01 
 1.78049999999994987e-03  8.31446173177848524e-01 
 1.78149999999994979e-03  8.31614642769874624e-01 
 1.78249999999994971e-03  8.31782943976501210e-01 
 1.78349999999994962e-03  8.31951076966029768e-01 
 1.78449999999994954e-03  8.32119041906593360e-01 
 1.78549999999994945e-03  8.32286838966156850e-01 
 1.78649999999994937e-03  8.32454468312517348e-01 
 1.78749999999994929e-03  8.32621930113304320e-01 
 1.78849999999994920e-03  8.32789224535979589e-01 
 1.78949999999994912e-03  8.32956351747837553e-01 
