role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	13	24677213	5.40135296293856926e-1	9.26209888470885971e1	3.81400085219145240e2	3.81336678021756029e2	3.82628508310455459e2	-2.83117372568737864e-6	3.79383350136014785e0	7.65257016620910395e-10	1.37108605438753911e-9	-3.79384326973467978e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	13	24677214	5.40135296293857037e-1	9.26209888470805112e1	3.81400085219142852e2	3.81336678021756200e2	3.82628508310449490e2	-2.83117377913914036e-6	3.79383350117860241e0	7.65257016620898504e-10	1.36516120558151124e-9	-3.79384326953220352e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	13	24677215	5.40135296293857037e-1	9.26209888470805254e1	3.81400085219141658e2	3.81336678021756313e2	3.82628508310446762e2	-2.83117380296641222e-6	3.79383350109339457e0	7.65257016620893127e-10	1.36099949822339368e-9	-3.79384326955914730e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	13	24677216	5.40135296293857148e-1	9.26209888470724536e1	3.81400085219140124e2	3.81336678021756427e2	3.82628508310443124e2	-2.83117383484824023e-6	3.79383350098648053e0	7.65257016620885786e-10	1.35373624974036327e-9	-3.79384326930465932e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	14	24821061	5.43249016059792145e-1	-9.53366410134325406e1	3.79117044366570951e2	3.79047454736029522e2	3.80353525351104622e2	-1.00580154849452142e-5	4.21684313897634944e0	7.60707050702208762e-10	1.23356921803539616e-9	4.21685475741792626e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	14	24821062	5.43249016059792256e-1	-9.53366410134405271e1	3.79117044366568678e2	3.79047454736029749e2	3.80353525351098995e2	-1.00580155290052457e-5	4.21684313880082495e0	7.60707050702197595e-10	1.21034682088252247e-9	4.21685475727875669e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	14	24821063	5.43249016059792256e-1	-9.53366410134405413e1	3.79117044366567427e2	3.79047454736029749e2	3.80353525351096209e2	-1.00580155508676539e-5	4.21684313871210481e0	7.60707050702192012e-10	1.24707258623900298e-9	4.21685475720270553e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	14	24821064	5.43249016059792367e-1	-9.53366410134445061e1	3.79117044366565835e2	3.79047454736029692e2	3.80353525351092458e2	-1.00580155815415850e-5	4.21684313859329496e0	7.60707050702184567e-10	1.30456219578877715e-9	4.21685475709678936e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	15	25233185	5.51583195026331019e-1	9.53813937534180383e1	3.79504104487467600e2	3.79434868435108740e2	3.80740121895046741e2	-1.27241856610628130e-5	4.19193644184579473e0	7.61480243790093047e-10	1.18717478562910525e-9	-4.19194807064104680e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	15	25233186	5.51583195026331130e-1	9.53813937534260248e1	3.79504104487465554e2	3.79434868435108967e2	3.80740121895042421e2	-1.27241856933155170e-5	4.19193644171082980e0	7.61480243790084465e-10	1.18627891479754236e-9	-4.19194807047364293e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
