 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554916649462279e-01  5.00000000000000000e+00  8.10408962159669954e-01  0.00000000000000000e+00  2.43122688647900986e+00  2.20150466098493025e+00  2.17215808260129520e-04  3.18137159885031422e-10  9.99990000099998944e-01  1.49999999999999716e+01  2.38937357272426534e-04 
 5.01554916649528226e-01  5.00000000000000000e+00  8.10738698397983626e-01  0.00000000000000000e+00  2.43221609519395088e+00  2.20240040115987679e+00  2.65203142246196147e-04  4.49842351357212714e-10  9.99990000099998944e-01  1.49999999999999716e+01  2.91723411486580621e-04 
 5.01554916649660232e-01  5.00000000000000000e+00  8.11398725986123281e-01  0.00000000000000000e+00  2.43419617795836984e+00  2.20419338948986265e+00  3.61177264687958740e-04  7.91858431376970580e-10  9.99990000099998944e-01  1.49999999999999716e+01  3.97294911970911462e-04 
 5.01554916649924132e-01  5.00000000000000000e+00  8.12718226050890280e-01  0.00000000000000000e+00  2.43815467815267084e+00  2.20777785816974115e+00  5.53123327471137212e-04  1.79030997140264444e-09  9.99990000099998944e-01  1.49999999999999716e+01  6.08435481187253832e-04 
 5.01554916650452043e-01  5.00000000000000000e+00  8.15357781291936590e-01  0.00000000000000000e+00  2.44607334387580977e+00  2.21494830350959138e+00  9.37006724805195131e-04  5.04486330535776474e-09  9.99990000099998944e-01  1.49999999999999716e+01  1.03070689279938428e-03 
 5.01554916651507754e-01  5.00000000000000000e+00  8.20636336662516896e-01  0.00000000000000000e+00  2.46190900998755069e+00  2.22928768620919948e+00  1.70473860789675845e-03  1.65843528682763428e-08  9.99990000099998944e-01  1.49999999999999716e+01  1.87521081025114741e-03 
 5.01554916653619287e-01  5.00000000000000000e+00  8.31194002515189823e-01  0.00000000000000000e+00  2.49358200754556947e+00  2.25796795958850760e+00  3.24006273859407017e-03  5.97831187328068002e-08  9.99990000099998944e-01  1.49999999999999716e+01  3.56406303414160373e-03 
 5.01554916657842242e-01  5.00000000000000000e+00  8.52308779109023362e-01  0.00000000000000000e+00  2.55692633732707009e+00  2.31532699836703193e+00  6.31015254459652182e-03  2.26645840661883171e-07  9.99990000099998944e-01  1.49999999999999716e+01  6.94114513447210806e-03 
 5.01554916666288153e-01  5.00000000000000000e+00  8.94538332296690442e-01  0.00000000000000000e+00  2.68361499689007132e+00  2.43004507592408014e+00  1.24480990272478158e-02  8.82120422889074325e-07  9.99990000099998944e-01  1.49999999999999716e+01  1.36928207179303086e-02 
 5.01554916683179974e-01  5.00000000000000000e+00  9.78997438672024600e-01  0.00000000000000000e+00  2.93699231601607380e+00  2.65948123103817702e+00  2.47150650097603466e-02  3.47917366681654193e-06  9.99990000099998944e-01  1.49999999999999716e+01  2.71862235933697099e-02 
 5.01554916716963728e-01  5.00000000000000000e+00  1.14791620653420523e+00  0.00000000000000000e+00  3.44374861960261569e+00  3.11835504924646312e+00  4.92133332711342797e-02  1.38105647591100526e-05  9.99990000099998944e-01  1.49999999999999716e+01  5.41332855417718042e-02 
 5.01554916784531235e-01  5.00000000000000000e+00  1.48575374225856649e+00  0.00000000000000000e+00  4.45726122677569947e+00  4.03610268566303532e+00  9.80675680092420871e-02  5.49655606378786506e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.07868828254102517e-01 
 5.01554916919666138e-01  5.00000000000000000e+00  2.16142825859577670e+00  0.00000000000000000e+00  6.48428477578733009e+00  5.87159645051608603e+00  1.95209641998123296e-01  2.18791064425800008e-04  9.99990000099998944e-01  1.49999999999999716e+01  2.14708727091493023e-01 
 5.01554917101618258e-01  5.00000000000000000e+00  3.07118885878310266e+00  9.09760675941764086e-05  9.21356657634930798e+00  8.34299335653677510e+00  3.24822124627434483e-01  6.09663955230504810e-04  9.99990000099998944e-01  1.49999999999999716e+01  3.57243370694654894e-01 
 5.01554917280995216e-01  5.00000000000000000e+00  3.96807364744233837e+00  2.70353041612798363e-04  1.19042209423270151e+01  1.07794126643118648e+01  4.51282012101000718e-01  1.18433890157999540e-03  9.99990000099998944e-01  1.49999999999999716e+01  4.96291779420942825e-01 
 5.01554917467575190e-01  5.00000000000000000e+00  4.90097351590890185e+00  4.56933023085803150e-04  1.47029205477267055e+01  1.33136682125084338e+01  5.81446237539332555e-01  1.97914102353649634e-03  9.99990000099998944e-01  1.49999999999999716e+01  6.39392947190912220e-01 
 5.01554917693255553e-01  5.00000000000000000e+00  5.00000000000000000e+00  6.82613413339728972e-04  1.50000000000000000e+01  1.35826771653543297e+01  7.37038407231411896e-01  3.20544378796125233e-03  9.99990000099998944e-01  1.49999999999999716e+01  8.10421703575757046e-01 
 5.01554918144616280e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.13397419384758062e-03  1.50000000000000000e+01  1.35826771653543297e+01  1.04225942132112293e+00  6.51015730483022002e-03  9.99990000099998944e-01  1.49999999999999716e+01  1.14583434772275239e+00 
 5.01554918855214527e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.84457239621451980e-03  1.50000000000000000e+01  1.35826771653543297e+01  1.50710420967126035e+00  1.39454020332591584e-02  9.99990000099998944e-01  1.49999999999999716e+01  1.65642009043506055e+00 
 5.01554919734083837e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.72344168130791119e-03  1.50000000000000000e+01  1.35826771653543297e+01  2.05650861995068945e+00  2.67558008880189671e-02  9.99990000099998944e-01  1.49999999999999716e+01  2.25948390185695658e+00 
