 time            v(out)          i(Lboost)       v(anode)       
 6.21002437e-07  4.25917684e+02  1.92162252e+01  4.26728025e+02 
 6.26002437e-07  4.26122077e+02  1.92095542e+01  4.26932402e+02 
 6.31002437e-07  4.26326398e+02  1.92028776e+01  4.27136707e+02 
 6.36002437e-07  4.26530648e+02  1.91961953e+01  4.27340942e+02 
 6.41002437e-07  4.26734828e+02  1.91895073e+01  4.27545106e+02 
 6.46002437e-07  4.26938936e+02  1.91828137e+01  4.27749198e+02 
 6.51002437e-07  4.27142972e+02  1.91761144e+01  4.27953219e+02 
 6.56002437e-07  4.27346938e+02  1.91694094e+01  4.28157169e+02 
 6.61002437e-07  4.27550832e+02  1.91626988e+01  4.28361047e+02 
 6.66002437e-07  4.27754655e+02  1.91559825e+01  4.28564854e+02 
 6.71002437e-07  4.27958406e+02  1.91492605e+01  4.28768590e+02 
 6.76002437e-07  4.28162086e+02  1.91425329e+01  4.28972254e+02 
 6.81002437e-07  4.28365694e+02  1.91357996e+01  4.29175846e+02 
 6.86002437e-07  4.28569231e+02  1.91290607e+01  4.29379366e+02 
 6.91002437e-07  4.28772695e+02  1.91223161e+01  4.29582815e+02 
 6.96002437e-07  4.28976088e+02  1.91155659e+01  4.29786192e+02 
 7.01002437e-07  4.29179409e+02  1.91088100e+01  4.29989498e+02 
 7.06002437e-07  4.29382659e+02  1.91020485e+01  4.30192731e+02 
 7.11002437e-07  4.29585836e+02  1.90952813e+01  4.30395892e+02 
 7.16002437e-07  4.29788941e+02  1.90885085e+01  4.30598982e+02 
 7.21002437e-07  4.29991974e+02  1.90817300e+01  4.30801999e+02 
 7.26002437e-07  4.30194935e+02  1.90749460e+01  4.31004944e+02 
 7.31002437e-07  4.30397824e+02  1.90681562e+01  4.31207817e+02 
 7.36002437e-07  4.30600641e+02  1.90613609e+01  4.31410617e+02 
 7.41002437e-07  4.30803385e+02  1.90545599e+01  4.31613346e+02 
 7.46002437e-07  4.31006057e+02  1.90477533e+01  4.31816001e+02 
 7.51002437e-07  4.31208656e+02  1.90409410e+01  4.32018585e+02 
 7.56002437e-07  4.31411183e+02  1.90341231e+01  4.32221096e+02 
 7.61002437e-07  4.31613638e+02  1.90272996e+01  4.32423534e+02 
 7.66002437e-07  4.31816019e+02  1.90204705e+01  4.32625899e+02 
 7.71002437e-07  4.32018328e+02  1.90136357e+01  4.32828192e+02 
 7.76002437e-07  4.32220565e+02  1.90067954e+01  4.33030413e+02 
 7.81002437e-07  4.32422728e+02  1.89999494e+01  4.33232560e+02 
 7.86002437e-07  4.32624819e+02  1.89930978e+01  4.33434634e+02 
 7.91002437e-07  4.32826837e+02  1.89862406e+01  4.33636636e+02 
 7.96002437e-07  4.33028781e+02  1.89793778e+01  4.33838564e+02 
 8.01002437e-07  4.33230653e+02  1.89725094e+01  4.34040420e+02 
 8.06002437e-07  4.33432452e+02  1.89656353e+01  4.34242202e+02 
 8.11002437e-07  4.33634177e+02  1.89587557e+01  4.34443912e+02 
 8.16002437e-07  4.33835829e+02  1.89518705e+01  4.34645547e+02 
 8.21002437e-07  4.34037408e+02  1.89449796e+01  4.34847110e+02 
 8.26002437e-07  4.34238914e+02  1.89380832e+01  4.35048600e+02 
 8.31002437e-07  4.34440346e+02  1.89311812e+01  4.35250015e+02 
 8.36002437e-07  4.34641705e+02  1.89242735e+01  4.35451358e+02 
 8.41002437e-07  4.34842990e+02  1.89173603e+01  4.35652627e+02 
