 time            v(out)          i(Lboost)       v(anode)       
 1.00801076e-06  4.38016915e+02  2.18588504e+01  4.38833231e+02 
 1.01301076e-06  4.38249416e+02  2.18513715e+01  4.39065716e+02 
 1.01801076e-06  4.38481837e+02  2.18438860e+01  4.39298121e+02 
 1.02301076e-06  4.38714179e+02  2.18363941e+01  4.39530446e+02 
 1.02801076e-06  4.38946442e+02  2.18288957e+01  4.39762692e+02 
 1.03301076e-06  4.39178624e+02  2.18213909e+01  4.39994858e+02 
 1.03801076e-06  4.39410726e+02  2.18138797e+01  4.40226944e+02 
 1.04301076e-06  4.39642749e+02  2.18063620e+01  4.40458950e+02 
 1.04801076e-06  4.39874691e+02  2.17988378e+01  4.40690876e+02 
 1.05301076e-06  4.40106554e+02  2.17913072e+01  4.40922722e+02 
 1.05801076e-06  4.40338336e+02  2.17837702e+01  4.41154488e+02 
 1.06301076e-06  4.40570038e+02  2.17762267e+01  4.41386174e+02 
 1.06801076e-06  4.40801660e+02  2.17686768e+01  4.41617779e+02 
 1.07301076e-06  4.41033202e+02  2.17611205e+01  4.41849304e+02 
 1.07801076e-06  4.41264663e+02  2.17535578e+01  4.42080748e+02 
 1.08301076e-06  4.41496043e+02  2.17459886e+01  4.42312112e+02 
 1.08801076e-06  4.41727343e+02  2.17384130e+01  4.42543396e+02 
 1.09301076e-06  4.41958563e+02  2.17308309e+01  4.42774599e+02 
 1.09801076e-06  4.42189701e+02  2.17232425e+01  4.43005721e+02 
 1.10301076e-06  4.42420759e+02  2.17156476e+01  4.43236762e+02 
 1.10801076e-06  4.42651736e+02  2.17080463e+01  4.43467722e+02 
 1.11301076e-06  4.42882632e+02  2.17004386e+01  4.43698602e+02 
 1.11801076e-06  4.43113448e+02  2.16928245e+01  4.43929400e+02 
 1.12301076e-06  4.43344182e+02  2.16852039e+01  4.44160118e+02 
 1.12801076e-06  4.43574835e+02  2.16775770e+01  4.44390754e+02 
 1.13301076e-06  4.43805407e+02  2.16699436e+01  4.44621309e+02 
 1.13801076e-06  4.44035897e+02  2.16623039e+01  4.44851783e+02 
 1.14301076e-06  4.44266307e+02  2.16546577e+01  4.45082176e+02 
 1.14801076e-06  4.44496635e+02  2.16470052e+01  4.45312487e+02 
 1.15301076e-06  4.44726881e+02  2.16393463e+01  4.45542717e+02 
 1.15801076e-06  4.44957046e+02  2.16316809e+01  4.45772865e+02 
 1.16301076e-06  4.45187130e+02  2.16240092e+01  4.46002931e+02 
 1.16801076e-06  4.45417131e+02  2.16163311e+01  4.46232916e+02 
 1.17301076e-06  4.45647052e+02  2.16086466e+01  4.46462820e+02 
 1.17801076e-06  4.45876890e+02  2.16009557e+01  4.46692641e+02 
 1.18301076e-06  4.46106646e+02  2.15932584e+01  4.46922381e+02 
 1.18801076e-06  4.46336321e+02  2.15855547e+01  4.47152038e+02 
 1.19301076e-06  4.46565913e+02  2.15778447e+01  4.47381614e+02 
 1.19801076e-06  4.46795424e+02  2.15701283e+01  4.47611107e+02 
 1.20301076e-06  4.47024852e+02  2.15624055e+01  4.47840519e+02 
 1.20801076e-06  4.47254198e+02  2.15546764e+01  4.48069848e+02 
 1.21301076e-06  4.47483462e+02  2.15469408e+01  4.48299095e+02 
 1.21801076e-06  4.47712644e+02  2.15391990e+01  4.48528259e+02 
 1.22301076e-06  4.47941743e+02  2.15314507e+01  4.48757341e+02 
 1.22801076e-06  4.48170760e+02  2.15236961e+01  4.48986341e+02 
 1.23301076e-06  4.48399694e+02  2.15159351e+01  4.49215258e+02 
 1.23801076e-06  4.48628546e+02  2.15081678e+01  4.49444093e+02 
 1.24301076e-06  4.48857314e+02  2.15003941e+01  4.49672844e+02 
 1.24801076e-06  4.49086001e+02  2.14926140e+01  4.49901513e+02 
 1.25301076e-06  4.49314604e+02  2.14848276e+01  4.50130100e+02 
 1.25801076e-06  4.49543125e+02  2.14770349e+01  4.50358603e+02 
 1.26301076e-06  4.49771562e+02  2.14692358e+01  4.50587023e+02 
 1.26801076e-06  4.49999917e+02  2.14614304e+01  4.50815361e+02 
 1.27301076e-06  4.50228188e+02  2.14536186e+01  4.51043615e+02 
 1.27801076e-06  4.50456377e+02  2.14458005e+01  4.51271786e+02 
 1.28301076e-06  4.50684482e+02  2.14379761e+01  4.51499874e+02 
 1.28801076e-06  4.50912504e+02  2.14301453e+01  4.51727879e+02 
 1.29301076e-06  4.51140442e+02  2.14223081e+01  4.51955800e+02 
 1.29801076e-06  4.51368297e+02  2.14144647e+01  4.52183638e+02 
 1.30301076e-06  4.51596069e+02  2.14066149e+01  4.52411392e+02 
 1.30801076e-06  4.51823757e+02  2.13987588e+01  4.52639063e+02 
 1.31301076e-06  4.52051362e+02  2.13908964e+01  4.52866650e+02 
 1.31801076e-06  4.52278883e+02  2.13830277e+01  4.53094154e+02 
 1.32301076e-06  4.52506320e+02  2.13751526e+01  4.53321573e+02 
 1.32801076e-06  4.52733673e+02  2.13672712e+01  4.53548909e+02 
 1.33301076e-06  4.52960943e+02  2.13593835e+01  4.53776161e+02 
 1.33801076e-06  4.53188128e+02  2.13514895e+01  4.54003329e+02 
 1.34301076e-06  4.53415229e+02  2.13435892e+01  4.54230413e+02 
 1.34801076e-06  4.53642247e+02  2.13356826e+01  4.54457413e+02 
 1.35301076e-06  4.53869180e+02  2.13277697e+01  4.54684329e+02 
 1.35801076e-06  4.54096029e+02  2.13198505e+01  4.54911160e+02 
 1.36301076e-06  4.54322794e+02  2.13119249e+01  4.55137908e+02 
 1.36801076e-06  4.54549474e+02  2.13039931e+01  4.55364570e+02 
 1.37301076e-06  4.54776070e+02  2.12960550e+01  4.55591149e+02 
 1.37801076e-06  4.55002582e+02  2.12881106e+01  4.55817643e+02 
 1.38301076e-06  4.55229009e+02  2.12801599e+01  4.56044052e+02 
 1.38801076e-06  4.55455351e+02  2.12722029e+01  4.56270377e+02 
