role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	26	26059012	5.68243770953571259e-1	9.50588423836604619e1	3.80186788754508484e2	3.80117497372000457e2	3.81422880377812930e2	-3.31611840628692856e-6	4.19591921104133636e0	3.81422880377812594e-10	1.22722290025850916e-9	-4.19593089794403795e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	26	26059013	5.68243770953571370e-1	9.50588423836684342e1	3.80186788754506381e2	3.80117497372000798e2	3.81422880377807246e2	-3.31611845557991013e-6	4.19591921086607123e0	3.81422880377806856e-10	1.27863053074165700e-9	-4.19593089791817420e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	27	26059819	5.68259277645129290e-1	9.58790503884884231e1	3.80182521188940939e2	3.80112289264737512e2	3.81419790818224158e2	-9.45524596525703754e-6	4.25937115046365378e0	3.81419790818223753e-10	1.22231208442281361e-9	-4.25938275005785272e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	27	26059820	5.68259277645129401e-1	9.58790503884963812e1	3.80182521188939518e2	3.80112289264737683e2	3.81419790818220406e2	-9.45524599500693699e-6	4.25937115035171754e0	3.81419790818220083e-10	1.28180579252595317e-9	-4.25938274995115762e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	27	26059821	5.68259277645129401e-1	9.58790503884963812e1	3.80182521188938722e2	3.80112289264737797e2	3.81419790818218473e2	-9.45524601042393951e-6	4.25937115029155411e0	3.81419790818218118e-10	1.29552326843170689e-9	-4.25938274985816179e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	27	26059822	5.68259277645129401e-1	9.58790503884963812e1	3.80182521188937699e2	3.80112289264737910e2	3.81419790818216086e2	-9.45524602781953816e-6	4.25937115021619039e0	3.81419790818215740e-10	1.27161391323712290e-9	-4.25938274980467213e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	27	26059823	5.68259277645129512e-1	9.58790503885003744e1	3.80182521188935596e2	3.80112289264738195e2	3.81419790818211197e2	-9.45524606457489305e-6	4.25937115006546474e0	3.81419790818210777e-10	1.28950080116939597e-9	-4.25938274971122155e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	28	26325645	5.73417798637411269e-1	9.53288059203143661e1	3.82834189377210691e2	3.82768777908308095e2	3.84065222981920328e2	-1.48539407152041593e-5	3.92854177874503696e0	3.84065222981919939e-10	1.34572277143218477e-9	-3.92855136556011075e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	28	26325646	5.73417798637411380e-1	9.53288059203103586e1	3.82834189377208986e2	3.82768777908308095e2	3.84065222981916179e2	-1.48539407451830592e-5	3.92854177861571907e0	3.84065222981915751e-10	1.34752425577736195e-9	-3.92855136545506411e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	28	26325647	5.73417798637411380e-1	9.53288059203103586e1	3.82834189377208247e2	3.82768777908308152e2	3.84065222981914019e2	-1.48539407599687663e-5	3.92854177854957820e0	3.84065222981913631e-10	1.34938636532652031e-9	-3.92855136528277171e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	28	26325648	5.73417798637411380e-1	9.53288059203103586e1	3.82834189377207395e2	3.82768777908308209e2	3.84065222981911177e2	-1.48539407807077548e-5	3.92854177846484065e0	3.84065222981910840e-10	1.38095765315519032e-9	-3.92855136528118010e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	28	26325649	5.73417798637411491e-1	9.53288059203024005e1	3.82834189377205348e2	3.82768777908308209e2	3.84065222981905890e2	-1.48539408200342884e-5	3.92854177829536555e0	3.84065222981905515e-10	1.36854476921484519e-9	-3.92855136518198833e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
