role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	25	26383967	5.73557236649655300e-1	9.55964559284513768e1	-1.00563724633781248e0	-6.46182244869442890e0	3.80412765795070754e2	3.80467572353082915e2	6.46181328931217447e0	3.80570724283772392e2	3.81845110503874366e2	-1.42790577792151570e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16594543491879277e0	3.11106432463502713e0
LEFT	26	26384378	5.73564961718273758e-1	9.51317325518016190e1	-1.00475123736532623e0	-6.42777133093592390e0	3.80406322577875699e2	3.80461128207605213e2	6.42776211645917694e0	3.80563756595754569e2	3.81837610983341165e2	-7.41357603946459975e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16590056866903380e0	3.09468139844866519e0
GROUP	26	26384379	5.73564961718273869e-1	9.51317325509815106e1	-1.00475123817633971e0	-6.42777133066951478e0	3.80406322577875812e2	3.80461128207605327e2	6.42776211629761018e0	3.80563756595752466e2	3.81837610983336731e2	-7.41357607562949983e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16590056866903291e0	3.09468139844758472e0
GROUP	26	26384380	5.73564961718273869e-1	9.51317325512082022e1	-1.00475123794964816e0	-6.42777129150616755e0	3.80406322577875869e2	3.80461128207605384e2	6.42776211621258931e0	3.80563756595751272e2	3.81837610983334514e2	-7.41357609404688110e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16590056866903291e0	3.09468139844701673e0
RIGHT	26	26384381	5.73564961718273980e-1	9.51317325508381373e1	-1.00475123831517976e0	-6.42777131973301774e0	3.80406322577875983e2	3.80461128207605498e2	6.42776211610198800e0	3.80563756595749794e2	3.81837610983331444e2	-7.41357611826225879e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16590056866903291e0	3.09468139844627776e0
LEFT	27	26385184	5.73580453510657229e-1	9.41979119487694021e1	-1.00238928930404825e0	-6.33720179075704948e0	3.80393254233176208e2	3.80448057980132432e2	6.33719248726419870e0	3.80549365842858606e2	3.81821800684384129e2	-8.08257508059087128e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16581123013834809e0	3.06492531264825185e0
GROUP	27	26385185	5.73580453510657340e-1	9.41979119490190300e1	-1.00238928904528279e0	-6.33720178996829642e0	3.80393254233176265e2	3.80448057980132489e2	6.33719248711031646e0	3.80549365842856673e2	3.81821800684379639e2	-8.08257511678750968e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16581123013834809e0	3.06492531264723711e0
GROUP	27	26385186	5.73580453510657340e-1	9.41979119508613394e1	-1.00238928720297338e0	-6.33720182061869419e0	3.80393254233176322e2	3.80448057980132546e2	6.33719248702905702e0	3.80549365842855707e2	3.81821800684376967e2	-8.08257513863393612e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16581123013834853e0	3.06492531264670154e0
RIGHT	27	26385187	5.73580453510657451e-1	9.41979119495892832e1	-1.00238928846592046e0	-6.33720179931464589e0	3.80393254233176378e2	3.80448057980132603e2	6.33719248692387449e0	3.80549365842854286e2	3.81821800684373727e2	-8.08257516457896018e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16581123013834898e0	3.06492531264600832e0
LEFT	28	26385605	5.73588183272950025e-1	9.37310315809452561e1	-1.00093706635884416e0	-6.28166564397580185e0	3.80386634953861403e2	3.80441437747169516e2	6.28165629277676185e0	3.80541909124742233e2	3.81813469872248561e2	-2.21118057091009765e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16576697448466016e0	3.04927978234324248e0
GROUP	28	26385606	5.73588183272950136e-1	9.37310315824012577e1	-1.00093706489370504e0	-6.28166565723347414e0	3.80386634953861517e2	3.80441437747169630e2	6.28165629262827174e0	3.80541909124739959e2	3.81813469872244013e2	-2.21118061134642184e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16576697448465882e0	3.04927978234226149e0
GROUP	28	26385607	5.73588183272950136e-1	9.37310315777922085e1	-1.00093706950275418e0	-6.28166564527579752e0	3.80386634953861460e2	3.80441437747169573e2	6.28165629254466662e0	3.80541909124738709e2	3.81813469872241456e2	-2.21118063514988698e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16576697448465882e0	3.04927978234171038e0
RIGHT	28	26385608	5.73588183272950247e-1	9.37310315827697309e1	-1.00093706452065589e0	-6.28166562311739707e0	3.80386634953861346e2	3.80441437747169459e2	6.28165629244372781e0	3.80541909124737344e2	3.81813469872238386e2	-2.21118066221217503e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16576697448465927e0	3.04927978234104424e0
